Date,Low temperature,High temperature,Precipitation
01-Jan-01,-19.83,-7.71,Not Available
02-Jan-01,-24.46,-5.59,Not Available
03-Jan-01,-12.7,-7.26,Not Available
04-Jan-01,-7.19,-3.93,Not Available
05-Jan-01,-4.56,0.31,Not Available
06-Jan-01,-9.93,-3.48,Not Available
07-Jan-01,-4.61,-0.91,Not Available
08-Jan-01,-16.54,-4.1,Not Available
09-Jan-01,-17.4,-3.6,Not Available
10-Jan-01,-7.36,-0.25,Not Available
11-Jan-01,-5.11,1.57,Not Available
12-Jan-01,-5.82,-0.29,Not Available
13-Jan-01,-4.89,-0.19,Not Available
14-Jan-01,-1.71,0.48,Not Available
15-Jan-01,0.36,2.07,Not Available
16-Jan-01,-2.69,1.22,Not Available
17-Jan-01,-5.48,-2.52,Not Available
18-Jan-01,-4.63,-1.52,Not Available
19-Jan-01,-15.47,-1.71,Not Available
20-Jan-01,-22.94,-5.5,Not Available
21-Jan-01,-16.57,-5.77,Not Available
22-Jan-01,-5.65,-3.06,Not Available
23-Jan-01,-4.32,-0.78,Not Available
24-Jan-01,-5.38,-1.35,Not Available
25-Jan-01,-12.15,-4.84,Not Available
26-Jan-01,-10.48,-3.06,Not Available
27-Jan-01,-6.08,-2.21,Not Available
28-Jan-01,-8.43,-3.95,Not Available
29-Jan-01,-7.08,-0.69,Not Available
30-Jan-01,-0.56,2.12,Not Available
31-Jan-01,-1.77,1.68,Not Available
01-Feb-01,-3.13,1.01,Not Available
02-Feb-01,-11.14,-1.77,Not Available
03-Feb-01,-14.06,-6.79,Not Available
04-Feb-01,-6.71,0.46,Not Available
05-Feb-01,-0.96,1.36,Not Available
06-Feb-01,-2.54,-0.17,Not Available
07-Feb-01,-7.32,-0.09,Not Available
08-Feb-01,-3.28,0.1,Not Available
09-Feb-01,0.1,7.64,Not Available
10-Feb-01,-10.36,-0.64,Not Available
11-Feb-01,-14.18,-7.66,Not Available
12-Feb-01,-11.67,-0.77,Not Available
13-Feb-01,-3.27,1.13,Not Available
14-Feb-01,-3.57,1.84,Not Available
15-Feb-01,-10.01,-3.21,Not Available
16-Feb-01,-8.57,-1.45,Not Available
17-Feb-01,-11.26,-5.04,Not Available
18-Feb-01,-11.57,-5.41,Not Available
19-Feb-01,-7.24,2.37,Not Available
20-Feb-01,-5.66,2.2,Not Available
21-Feb-01,-12.16,-6.31,Not Available
22-Feb-01,-16.28,-6.98,Not Available
23-Feb-01,-11.98,-4.16,Not Available
24-Feb-01,-16.11,-0.92,Not Available
25-Feb-01,-0.86,10.29,Not Available
26-Feb-01,-3.87,-0.44,Not Available
27-Feb-01,-7.12,-0.65,Not Available
28-Feb-01,-11.79,-6.97,Not Available
01-Mar-01,-9.35,-3.69,Not Available
02-Mar-01,-5.13,0.87,Not Available
03-Mar-01,-4.13,3.19,Not Available
04-Mar-01,-5.29,-1.49,Not Available
05-Mar-01,-7.83,-3.25,Not Available
06-Mar-01,-6.27,-1.29,Not Available
07-Mar-01,-9.2,-0.78,Not Available
08-Mar-01,-5.03,-0.36,Not Available
09-Mar-01,-6.99,1.34,Not Available
10-Mar-01,-9.57,0.09,Not Available
11-Mar-01,-16.38,1.44,Not Available
12-Mar-01,-19.52,-0.79,Not Available
13-Mar-01,-0.94,1.93,Not Available
14-Mar-01,-1.66,2.95,Not Available
15-Mar-01,-1.37,4.1,Not Available
16-Mar-01,-3.82,-1.07,Not Available
17-Mar-01,-8.88,-1.39,Not Available
18-Mar-01,-10.14,3.97,Not Available
19-Mar-01,-7.77,7.18,Not Available
20-Mar-01,-8.07,7.41,Not Available
21-Mar-01,-5.21,7.81,Not Available
22-Mar-01,-3.49,7.72,Not Available
23-Mar-01,-2.88,5.7,Not Available
24-Mar-01,-6.44,0.01,Not Available
25-Mar-01,-9.95,-4.01,Not Available
26-Mar-01,-14.58,-4.11,Not Available
27-Mar-01,-8.4,-2.84,Not Available
28-Mar-01,-3.12,3.43,0
29-Mar-01,-1.24,6.44,0
30-Mar-01,-0.23,4.33,0
31-Mar-01,0.26,4.41,0
01-Apr-01,-0.31,2.4,0
02-Apr-01,-2.58,5.22,0
03-Apr-01,-3.33,7.55,0
04-Apr-01,-3.52,11.06,0
05-Apr-01,-3.28,13.55,0
06-Apr-01,4.05,11.71,0
07-Apr-01,2.29,4.88,0
08-Apr-01,4.87,21,4.3
09-Apr-01,0.73,6.19,0
10-Apr-01,0.73,10.06,0
11-Apr-01,3.48,12.45,3.3
12-Apr-01,9.26,22.54,0
13-Apr-01,0.96,9.66,0.1
14-Apr-01,-2.22,13.71,0
15-Apr-01,0.35,9.52,1.4
16-Apr-01,-0.15,11.23,2.8
17-Apr-01,-1.43,4.69,0
18-Apr-01,-2.94,3.21,0
19-Apr-01,-5.33,10.18,2.3
20-Apr-01,3.47,12.64,2.3
21-Apr-01,6.96,17.61,0
22-Apr-01,10.76,18.45,0
23-Apr-01,9.75,23.83,0
24-Apr-01,-0.59,18.77,0
25-Apr-01,-3.22,13.17,2
26-Apr-01,4.28,15.48,1
27-Apr-01,3.38,14.59,0
28-Apr-01,-2.28,12.01,0
29-Apr-01,-3.12,16.72,0
30-Apr-01,4.66,24.04,0
01-May-01,8.78,26.67,0
02-May-01,16.13,26.58,0
03-May-01,15.71,27.77,2.5
04-May-01,9.83,25.51,0
05-May-01,8.1,18.07,0
06-May-01,6.81,15.69,0
07-May-01,7.41,19.18,3.5
08-May-01,10.76,17.19,0
09-May-01,10.66,22.86,0
10-May-01,8.43,23.65,0.9
11-May-01,10.9,18.98,0
12-May-01,3.81,11.73,0
13-May-01,-1.32,15.87,0.2
14-May-01,5.21,17.64,0
15-May-01,3.04,20.15,0
16-May-01,5.47,19.15,0.7
17-May-01,11.17,15.4,0.4
18-May-01,11.11,22.48,0
19-May-01,7.59,23.36,0
20-May-01,8.51,20.12,6.1
21-May-01,12.6,14.94,8.4
22-May-01,9.56,16.39,0
23-May-01,8.5,17.89,5.3
24-May-01,9.03,19.12,12.3
25-May-01,9.83,14.47,3.1
26-May-01,7.35,16.27,5.8
27-May-01,10.31,14.05,1.1
28-May-01,10.24,16.18,0
29-May-01,5.88,13.75,0
30-May-01,2.94,13.13,0
31-May-01,2.67,18.01,2.6
01-Jun-01,9.66,13.65,0
02-Jun-01,9.35,15.07,3.1
03-Jun-01,9.01,14.08,0
04-Jun-01,7.99,12.52,0
05-Jun-01,7.73,18.76,0
06-Jun-01,8.76,20.81,0
07-Jun-01,6.07,22.36,0
08-Jun-01,7.46,23.45,0.3
09-Jun-01,7.76,23.63,1.2
10-Jun-01,12.42,25.05,4
11-Jun-01,14.12,22.76,0.1
